status_code,history,alias,site,error,years
200,[<Response [302]>],https://www.surpriseaz.gov/AgendaCenter,http://az-surprise.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.myvistancia.com/AgendaCenter,http://az-villageatvistancia.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.highlands.ca/AgendaCenter,http://bc-highlands.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.mapleridge.ca/AgendaCenter,http://bc-mapleridge.civicplus.com/AgendaCenter,,True
200,,,http://bc-nelson.civicplus.com/AgendaCenter,,True
200,,,http://bc-salmonarm.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.whiterockcity.ca/AgendaCenter,http://bc-whiterock.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.ci.adelanto.ca.us/AgendaCenter,http://ca-adelanto.civicplus.com/AgendaCenter,,True
,,,http://ca-alamedacountywater.civicplus.com/AgendaCenter,'NoneType' object has no attribute 'span',
200,,,http://ca-alpinecounty.civicplus.com/AgendaCenter,,True
200,,,http://ca-anaheim.civicplus.com/AgendaCenter,,True
200,,,http://ca-arroyogrande.civicplus.com/AgendaCenter,,True
200,,,http://ca-artesia.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofavenal.com/AgendaCenter,http://ca-avenal.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.bbldwp.com/AgendaCenter,http://ca-bbldwp.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofbelvedere.org/AgendaCenter,http://ca-belvedere.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofblythe.ca.gov/AgendaCenter,http://ca-blythe.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.ci.campbell.ca.us/AgendaCenter,http://ca-campbell.civicplus.com/AgendaCenter,,True
200,,,http://ca-ceres.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cbwcd.org/AgendaCenter,http://ca-chinobasinwaterdistrict.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.chinodesalter.org/AgendaCenter,http://ca-chinodesalter.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.chinovalleyfire.org/AgendaCenter,http://ca-chinovalleyifd.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://cityofchowchilla.org/AgendaCenter,http://ca-chowchilla.civicplus.com/AgendaCenter,,True
200,,,http://ca-citrusheights.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://clearlake.ca.us/AgendaCenter,http://ca-clearlake.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cloverdale.net/AgendaCenter,http://ca-cloverdale.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.ci.colton.ca.us/AgendaCenter,http://ca-colton.civicplus.com/AgendaCenter,,True
200,,,http://ca-concord.civicplus.com/AgendaCenter,,True
200,,,http://ca-concordcommunityreuseproject.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.contracosta.ca.gov/AgendaCenter,http://ca-contracostacounty.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.ccwater.com/AgendaCenter,http://ca-contracostawaterdistrict.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.townofcortemadera.org/AgendaCenter,http://ca-cortemadera.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.yourcsd.com/AgendaCenter,http://ca-cosumnescsd.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cvwdwater.com/AgendaCenter,http://ca-cucamongavalleywaterdistrict.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.cityofcudahy.com/AgendaCenter,http://ca-cudahy.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.danville.ca.gov/AgendaCenter,http://ca-danville.civicplus.com/AgendaCenter,,True
200,,,http://ca-delmar.civicplus.com/AgendaCenter,,True
404,,,http://ca-eastpaloalto.civicplus.com/AgendaCenter,,False
200,,,http://ca-elmonte.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.ci.emeryville.ca.us/AgendaCenter,http://ca-emeryville.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.eastvalley.org/AgendaCenter,http://ca-evwd.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.forpd.org/AgendaCenter,http://ca-fairoaksparksandrec.civicplus.com/AgendaCenter,,True
200,,,http://ca-farmersville.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://city.fortbragg.com/AgendaCenter,http://ca-fortbragg.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.fountainvalley.org/AgendaCenter,http://ca-fountainvalley.civicplus.com/AgendaCenter,,True
200,,,http://ca-fountainvalleycommunityfoundation.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://www.fremont.gov/AgendaCenter,http://ca-fremont.civicplus.com/AgendaCenter,,True
200,,,http://ca-gilroy.civicplus.com/AgendaCenter,,True
200,[<Response [302]>],https://ci.greenfield.ca.us/AgendaCenter,http://ca-greenfield.civicplus.com/AgendaCenter,,True
